,title,link
58,Glacial clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3e1cfebce0b2f419eb48f8de08e650bd9
59,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3bd145aae3bfb47f3859e9dea184d1355
60,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m32cdd1834019d41fda7b16e922accc7de
61,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3eb0095c322474734a9df834762d7c266
62,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3528af362c9dd455286be2b6775c16b6f
63,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3dcfc5db10dfe4e5a896bb6d56ed9d4b6
64,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3872388e38f5d4be9817750daa6df0af8
65,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m3656dc2057bd0467b96a2ac635d50e73f
66,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m33928ba690af44d0b87c7089732131701
67,Siliceous clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m39fe042ae2f8e474a9109608c2f1f6a80
68,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m37dd629b0efff4c41be313fda7fc71755
69,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m34991e778c452427983ed81e4a23a641b
70,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m351d9ec7b3aad4e069f4f46adab407399
71,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m38819bde5ed62473496b09c9b99e83914
72,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m350dda00875124384a5b55b247e43b58b
73,Clay concretion,https://ids.si.edu/ids/deliveryService?max_w=550&id=ark:/65665/m365721f4986f24df9be4f07b891a07767
